Sentença	Id	Index	Granularidade	Documento
A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo.	1	0	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
A empresa afirmou que os recursos ajudam equipes de tecnologia.	1	1	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
0	1	-1	1	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação.	2	0	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
O estudo analisou riscos digitais em organizações brasileiras.	2	1	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
1	2	-1	1	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
O Google anunciou melhorias em seus serviços de nuvem no Brasil.	3	0	0	O Google anunciou melhorias em seus serviços de nuvem no Brasil . A empresa destacou o crescimento da computação em nuvem entre pequenas empresas .
A empresa destacou o crescimento da computação em nuvem entre pequenas empresas.	3	1	0	O Google anunciou melhorias em seus serviços de nuvem no Brasil . A empresa destacou o crescimento da computação em nuvem entre pequenas empresas .
2	3	-1	1	O Google anunciou melhorias em seus serviços de nuvem no Brasil . A empresa destacou o crescimento da computação em nuvem entre pequenas empresas .
A Petrobras utiliza sistemas digitais para controlar processos industriais no Rio de Janeiro.	4	0	0	A Petrobras utiliza sistemas digitais para controlar processos industriais no Rio de Janeiro . A companhia investe em automação e análise de dados .
A companhia investe em automação e análise de dados.	4	1	0	A Petrobras utiliza sistemas digitais para controlar processos industriais no Rio de Janeiro . A companhia investe em automação e análise de dados .
3	4	-1	1	A Petrobras utiliza sistemas digitais para controlar processos industriais no Rio de Janeiro . A companhia investe em automação e análise de dados .
O Banco do Brasil ampliou o uso de aplicativos móveis para atendimento aos clientes.	5	0	0	O Banco do Brasil ampliou o uso de aplicativos móveis para atendimento aos clientes . A instituição também reforçou medidas de proteção contra fraudes .
A instituição também reforçou medidas de proteção contra fraudes.	5	1	0	O Banco do Brasil ampliou o uso de aplicativos móveis para atendimento aos clientes . A instituição também reforçou medidas de proteção contra fraudes .
4	5	-1	1	O Banco do Brasil ampliou o uso de aplicativos móveis para atendimento aos clientes . A instituição também reforçou medidas de proteção contra fraudes .
A Prefeitura de Curitiba implementou uma plataforma online para serviços públicos.	6	0	0	A Prefeitura de Curitiba implementou uma plataforma online para serviços públicos . O sistema permite consultar documentos e solicitar atendimento pela internet .
O sistema permite consultar documentos e solicitar atendimento pela internet.	6	1	0	A Prefeitura de Curitiba implementou uma plataforma online para serviços públicos . O sistema permite consultar documentos e solicitar atendimento pela internet .
5	6	-1	1	A Prefeitura de Curitiba implementou uma plataforma online para serviços públicos . O sistema permite consultar documentos e solicitar atendimento pela internet .
A Amazon Web Services oferece recursos de armazenamento e processamento para empresas.	7	0	0	A Amazon Web Services oferece recursos de armazenamento e processamento para empresas . Muitas organizações usam a nuvem para reduzir custos operacionais .
Muitas organizações usam a nuvem para reduzir custos operacionais.	7	1	0	A Amazon Web Services oferece recursos de armazenamento e processamento para empresas . Muitas organizações usam a nuvem para reduzir custos operacionais .
6	7	-1	1	A Amazon Web Services oferece recursos de armazenamento e processamento para empresas . Muitas organizações usam a nuvem para reduzir custos operacionais .
O Ministério da Educação divulgou dados sobre ensino a distância no Brasil.	8	0	0	O Ministério da Educação divulgou dados sobre ensino a distância no Brasil . As informações mostram aumento no uso de plataformas digitais .
As informações mostram aumento no uso de plataformas digitais.	8	1	0	O Ministério da Educação divulgou dados sobre ensino a distância no Brasil . As informações mostram aumento no uso de plataformas digitais .
7	8	-1	1	O Ministério da Educação divulgou dados sobre ensino a distância no Brasil . As informações mostram aumento no uso de plataformas digitais .
A empresa Totvs desenvolve sistemas de gestão empresarial para diferentes setores.	9	0	0	A empresa Totvs desenvolve sistemas de gestão empresarial para diferentes setores . Suas soluções são utilizadas por organizações no comércio e na indústria .
Suas soluções são utilizadas por organizações no comércio e na indústria.	9	1	0	A empresa Totvs desenvolve sistemas de gestão empresarial para diferentes setores . Suas soluções são utilizadas por organizações no comércio e na indústria .
8	9	-1	1	A empresa Totvs desenvolve sistemas de gestão empresarial para diferentes setores . Suas soluções são utilizadas por organizações no comércio e na indústria .
A Oracle oferece bancos de dados utilizados por empresas de grande porte.	10	0	0	A Oracle oferece bancos de dados utilizados por empresas de grande porte . Esses sistemas armazenam informações financeiras , comerciais e administrativas .
Esses sistemas armazenam informações financeiras, comerciais e administrativas.	10	1	0	A Oracle oferece bancos de dados utilizados por empresas de grande porte . Esses sistemas armazenam informações financeiras , comerciais e administrativas .
9	10	-1	1	A Oracle oferece bancos de dados utilizados por empresas de grande porte . Esses sistemas armazenam informações financeiras , comerciais e administrativas .
A IBM realizou um evento sobre segurança cibernética em Brasília.	11	0	0	A IBM realizou um evento sobre segurança cibernética em Brasília . Especialistas discutiram riscos , privacidade e proteção de dados .
Especialistas discutiram riscos, privacidade e proteção de dados.	11	1	0	A IBM realizou um evento sobre segurança cibernética em Brasília . Especialistas discutiram riscos , privacidade e proteção de dados .
10	11	-1	1	A IBM realizou um evento sobre segurança cibernética em Brasília . Especialistas discutiram riscos , privacidade e proteção de dados .
