Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
A	DET	0	1	0	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
Microsoft	PROPN	0	1	1	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
lançou	VERB	0	1	2	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
novas	ADJ	0	1	3	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
ferramentas	NOUN	0	1	4	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
de	ADP	0	1	5	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
inteligência	NOUN	0	1	6	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
artificial	ADJ	0	1	7	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
para	ADP	0	1	8	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
empresas	NOUN	0	1	9	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
em	ADP	0	1	10	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
São	PROPN	0	1	11	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
Paulo	PROPN	0	1	12	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
.	PUNCT	0	1	13	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
A	DET	0	1	14	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
empresa	NOUN	0	1	15	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
afirmou	VERB	0	1	16	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
que	SCONJ	0	1	17	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
os	DET	0	1	18	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
recursos	NOUN	0	1	19	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
ajudam	VERB	0	1	20	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
equipes	NOUN	0	1	21	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
de	ADP	0	1	22	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
tecnologia	NOUN	0	1	23	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
.	PUNCT	0	1	24	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
0	['DET', 'PROPN', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'VERB', 'SCONJ', 'DET', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1	0	1	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
A	DET	0	2	0	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
Universidade	PROPN	0	2	1	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
de	ADP	0	2	2	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
São	PROPN	0	2	3	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
Paulo	PROPN	0	2	4	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
realizou	VERB	0	2	5	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
uma	DET	0	2	6	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
pesquisa	NOUN	0	2	7	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
sobre	ADP	0	2	8	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
segurança	NOUN	0	2	9	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
da	ADP	0	2	10	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
informação	NOUN	0	2	11	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
.	PUNCT	0	2	12	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
