Token	POS-Tag	OOV	Id	Index	Documento
A	DET	0	1	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
Microsoft	PROPN	0	1	1	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
lançou	VERB	0	1	2	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
novas	ADJ	0	1	3	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
ferramentas	NOUN	0	1	4	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
de	ADP	0	1	5	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
inteligência	NOUN	0	1	6	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
artificial	ADJ	0	1	7	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
para	ADP	0	1	8	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
empresas	NOUN	0	1	9	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
em	ADP	0	1	10	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
São	PROPN	0	1	11	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
Paulo	PROPN	0	1	12	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
.	PUNCT	0	1	13	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
A	DET	0	1	14	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
empresa	NOUN	0	1	15	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
afirmou	VERB	0	1	16	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
que	SCONJ	0	1	17	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
os	DET	0	1	18	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
recursos	NOUN	0	1	19	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
ajudam	VERB	0	1	20	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
equipes	NOUN	0	1	21	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
de	ADP	0	1	22	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
tecnologia	NOUN	0	1	23	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
.	PUNCT	0	1	24	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
A	DET	0	2	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
Universidade	PROPN	0	2	1	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
de	ADP	0	2	2	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
São	PROPN	0	2	3	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
Paulo	PROPN	0	2	4	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
